?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHR_9606chr4q33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8p11.23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8p11.23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qC2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qC2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20q13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q12.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q12.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p22.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p22.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q44>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q44 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q12.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q12.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q13.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q13.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q24 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qC1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qC1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chrYqA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYqA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12p11.23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p11.23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr5q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qC>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qC (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q14.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q14.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p15.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p15.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qB5.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qB5.1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q35>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q35 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q12.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q12.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q24.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q24.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrYqA1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYqA1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q26>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q26 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q12.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q12.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20p11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20p11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q31.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q31.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qH4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qH4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qC6>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qC6 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q22 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr16qC1.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16qC1.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q25.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q25.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chrXq14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq14 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr19p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr10q31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q31 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chrXq>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p16.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p16.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q32.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q32.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q32.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q32.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qF>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qF (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr16qB4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16qB4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qB5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qB5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qA3.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qA3.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q23.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q23.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q22.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q22.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr17q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qD2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qD2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9031chr27>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr27 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16p13.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p13.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrX>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrX (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qH>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qH (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p16.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p16.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q24.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q24.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr18qE4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18qE4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qB1.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qB1.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr15p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15p12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr9q34>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q34 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr4q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qC1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qC1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq26>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq26 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q24.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q24.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chrXq21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq21 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q24 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr15p14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15p14 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq22.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq22.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q25.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q25.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr17q12.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q12.2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14p (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qF1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qF1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qA3.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qA3.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19q13.13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q13.13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr4q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q34>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q34 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q32.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q32.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q23.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q23.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qC2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qC2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20q11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr7q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qH>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qH (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr12p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9031chr22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qC3.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qC3.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p34.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p34.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr11q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr8>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr18qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9qA5.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9qA5.1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr13q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYp11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYp11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr7qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p22.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p22.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr13q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q21 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q16.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q16.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q12.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q12.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p36.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p36.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qH3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qH3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q21.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q21.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18q21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q16.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q16.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9796chrX>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrX (horse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q15.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q15.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p14.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p14.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q36>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q36 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p14.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p14.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXq>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15qB3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15qB3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qE>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qE (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYq1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYq1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14p11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14p11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q14.12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q14.12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p21.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p21.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q11.21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q11.21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p12.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p12.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q31.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q31.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr7qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqA3.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqA3.1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q15.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q15.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p24 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qE3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qE3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q32 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr14p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14p11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr8q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qC1.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qC1.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3qF2.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3qF2.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p14.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p14.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q25.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q25.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr11q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q23 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14 (Rat)"	
